time,sst
01/01,29.06842
01/02,29.047369
01/03,29.017893
01/04,28.976843
01/05,28.94895
01/06,28.91579
01/07,28.891052
01/08,28.873888
01/09,28.841578
01/10,28.840525
01/11,28.83579
01/12,28.830002
01/13,28.818947
01/14,28.798946
01/15,28.804213
01/16,28.786112
01/17,28.757896
01/18,28.740526
01/19,28.738947
01/20,28.725788
01/21,28.704737
01/22,28.699999
01/23,28.69158
01/24,28.660526
01/25,28.649471
01/26,28.659998
01/27,28.688946
01/28,28.627367
01/29,28.60684
01/30,28.58421
01/31,28.541578
02/01,28.516842
02/02,28.530527
02/03,28.532104
02/04,28.486315
02/05,28.485262
02/06,28.460526
02/07,28.468422
02/08,28.455788
02/09,28.457895
02/10,28.417894
02/11,28.387894
02/12,28.385263
02/13,28.382105
02/14,28.39579
02/15,28.427368
02/16,28.426315
02/17,28.417894
02/18,28.43895
02/19,28.443157
02/20,28.456314
02/21,28.44421
02/22,28.440527
02/23,28.43895
02/24,28.441053
02/25,28.444738
02/26,28.435265
02/27,28.407368
02/28,28.407368
02/29,28.539999
03/01,28.445265
03/02,28.450525
03/03,28.462107
03/04,28.46
03/05,28.435791
03/06,28.446842
03/07,28.472103
03/08,28.513159
03/09,28.568947
03/10,28.587894
03/11,28.568947
03/12,28.52
03/13,28.516315
03/14,28.49737
03/15,28.521053
03/16,28.485262
03/17,28.514738
03/18,28.587366
03/19,28.628948
03/20,28.621578
03/21,28.685791
03/22,28.658949
03/23,28.676315
03/24,28.724737
03/25,28.796316
03/26,28.739473
03/27,28.741581
03/28,28.743685
03/29,28.785263
03/30,28.759474
03/31,28.723158
04/01,28.74
04/02,28.758419
04/03,28.81842
04/04,28.863686
04/05,28.881052
04/06,28.94421
04/07,28.968422
04/08,28.984211
04/09,28.97158
04/10,29.02842
04/11,29.014212
04/12,29.072105
04/13,29.139475
04/14,29.066843
04/15,29.062105
04/16,29.09611
04/17,29.173683
04/18,29.283157
04/19,29.259474
04/20,29.199472
04/21,29.231054
04/22,29.245789
04/23,29.234211
04/24,29.302105
04/25,29.35
04/26,29.423157
04/27,29.455788
04/28,29.492104
04/29,29.561579
04/30,29.62
05/01,29.606318
05/02,29.618948
05/03,29.642105
05/04,29.642105
05/05,29.638422
05/06,29.607367
05/07,29.590525
05/08,29.619474
05/09,29.550528
05/10,29.545263
05/11,29.586843
05/12,29.654737
05/13,29.683683
05/14,29.715265
05/15,29.713158
05/16,29.703157
05/17,29.75263
05/18,29.750526
05/19,29.795263
05/20,29.723158
05/21,29.745789
05/22,29.836843
05/23,29.816843
05/24,29.870525
05/25,29.84421
05/26,29.826317
05/27,29.817894
05/28,29.82105
05/29,29.834736
05/30,29.895264
05/31,29.917368
06/01,29.994211
06/02,29.933683
06/03,29.945791
06/04,29.964737
06/05,29.933683
06/06,29.994211
06/07,29.968422
06/08,29.936842
06/09,29.968422
06/10,29.924738
06/11,29.907894
06/12,29.890526
06/13,29.903683
06/14,29.786842
06/15,29.654211
06/16,29.662634
06/17,29.74263
06/18,29.753159
06/19,29.748423
06/20,29.758419
06/21,29.666842
06/22,29.611578
06/23,29.65579
06/24,29.672106
06/25,29.673157
06/26,29.628948
06/27,29.63
06/28,29.662106
06/29,29.622633
06/30,29.660526
07/01,29.660526
07/02,29.613684
07/03,29.567894
07/04,29.56579
07/05,29.527369
07/06,29.535557
07/07,29.64579
07/08,29.552631
07/09,29.58421
07/10,29.585262
07/11,29.658422
07/12,29.603159
07/13,29.608421
07/14,29.571579
07/15,29.562632
07/16,29.57842
07/17,29.583158
07/18,29.595789
07/19,29.58105
07/20,29.577368
07/21,29.566843
07/22,29.558947
07/23,29.52579
07/24,29.53842
07/25,29.495262
07/26,29.46
07/27,29.41421
07/28,29.399475
07/29,29.393156
07/30,29.38421
07/31,29.333685
08/01,29.336317
08/02,29.348948
08/03,29.310001
08/04,29.275263
08/05,29.291054
08/06,29.262104
08/07,29.265263
08/08,29.241053
08/09,29.336317
08/10,29.324736
08/11,29.351051
08/12,29.307894
08/13,29.33158
08/14,29.325262
08/15,29.354736
08/16,29.377367
08/17,29.357367
08/18,29.312632
08/19,29.396315
08/20,29.347366
08/21,29.315262
08/22,29.393682
08/23,29.478333
08/24,29.407894
08/25,29.369474
08/26,29.41421
08/27,29.38316
08/28,29.454737
08/29,29.484211
08/30,29.431053
08/31,29.362633
09/01,29.453157
09/02,29.499474
09/03,29.476843
09/04,29.47158
09/05,29.44158
09/06,29.476315
09/07,29.46737
09/08,29.50737
09/09,29.47
09/10,29.51263
09/11,29.536316
09/12,29.495789
09/13,29.494211
09/14,29.502104
09/15,29.53842
09/16,29.473684
09/17,29.5
09/18,29.533157
09/19,29.527369
09/20,29.513685
09/21,29.503685
09/22,29.470526
09/23,29.498423
09/24,29.454737
09/25,29.417894
09/26,29.496315
09/27,29.443157
09/28,29.4405
09/29,29.367
09/30,29.365
10/01,29.454998
10/02,29.4505
10/03,29.4965
10/04,29.4725
10/05,29.4575
10/06,29.494
10/07,29.517002
10/08,29.581
10/09,29.515
10/10,29.485
10/11,29.469501
10/12,29.501999
10/13,29.553501
10/14,29.5985
10/15,29.548
10/16,29.4785
10/17,29.4815
10/18,29.5185
10/19,29.564999
10/20,29.627499
10/21,29.6535
10/22,29.675
10/23,29.7075
10/24,29.648998
10/25,29.664999
10/26,29.655499
10/27,29.7255
10/28,29.7365
10/29,29.729498
10/30,29.7995
10/31,29.7995
11/01,29.8005
11/02,29.7495
11/03,29.7495
11/04,29.758
11/05,29.6845
11/06,29.635998
11/07,29.689999
11/08,29.8055
11/09,29.762
11/10,29.73
11/11,29.734
11/12,29.717999
11/13,29.701502
11/14,29.7155
11/15,29.657999
11/16,29.645498
11/17,29.6415
11/18,29.635998
11/19,29.6415
11/20,29.6135
11/21,29.612
11/22,29.597
11/23,29.6125
11/24,29.602
11/25,29.576
11/26,29.564001
11/27,29.535
11/28,29.534
11/29,29.4885
11/30,29.4855
12/01,29.520498
12/02,29.5135
12/03,29.526999
12/04,29.5
12/05,29.476501
12/06,29.525
12/07,29.463001
12/08,29.435999
12/09,29.429499
12/10,29.387
12/11,29.406
12/12,29.4
12/13,29.393
12/14,29.373999
12/15,29.35
12/16,29.3565
12/17,29.3585
12/18,29.3475
12/19,29.289999
12/20,29.257502
12/21,29.2495
12/22,29.2465
12/23,29.227499
12/24,29.2225
12/25,29.175
12/26,29.192001
12/27,29.1535
12/28,29.15
12/29,29.1395
12/30,29.105
12/31,29.088999
